id,height,location_name,mountain_range
1,710,Adam i Ewa ,3
2,1185,Adamcula ,0
3,612,Adamczykowa ,1
4,354,Andrychów ,1
5,895,Autocamp Račkova dolina / Autocamping Dolina Rac ,0
6,1725,Babia Góra ,1
7,710,Babica ,1
8,600,Babica Zachodnia ,1
9,470,Bacówka Jamna ,1
10,1064,Bacówka PTTK Krawców Wierch ,1
11,1207,Bacówka Rycerzowa  ,1
12,766,Baków ,1
13,440,Baligród ,2
14,712,Balnica ,2
15,591,Banica ,2
16,2178,Baníkov ,0
17,2040,Baníkowska Przełęcz ,0
18,2185,Baranec ,0
19,1220,Barania Góra  ,1
20,754,Baranie ,2
21,325,Barcice ,1
22,270,Bardo ,3
23,534,Bardo ,2
24,565,Barnasiówka ,1
25,490,Bartne ,2
26,619,Bartne ,2
27,440,Barwinek ,2
28,703,Barwinkowa Góra ,1
29,668,Barwinok ,2
30,680,Batorówek ,3
31,1884,Batyżowiecki Staw ,0
32,862,Becyrek ,1
33,540,Beczkowski Potok ,3
34,1093,Bednarów Beskid ,1
35,884,Berdo ,2
36,610,Bereżki ,2
37,954,Beskid Korbielowski ,1
38,684,Beskidek ,1
39,790,Beskidy ,1
40,503,Betlejem ,3
41,493,Białe ,1
42,689,Białka Tatrzańska ,1
43,616,Białowodzka Góra ,1
44,300,Bialskie Rozdroże ,3
45,1250,Biały Jar ,3
46,440,Biały Kamień ,3
47,180,Biały Kościół ,3
48,1215,Biały Wag ,0
49,330,Biedrzychowice ,3
50,740,Biela Farma ,1
51,940,Biela Skala ,0
52,1015,Biela Voda ,0
53,400,Bielanka ,2
54,691,Bielanka Górna ,1
55,270,Bielanka k/Lwówka ,3
56,320,Bielawa ,3
57,750,Bielice ,3
58,500,Bieńkówka ,1
59,533,Bijakowa ,3
60,891,Biskupia Kopa ,3
61,850,Biskupia Kopa schronisko ,3
62,917,Błatnia ,1
63,853,Błędne Skały ,3
64,838,Błędne Skały - parking ,3
65,843,Błędne Skały - wejscie ,3
66,427,Błonia Mikuszowickie ,1
67,260,Błonie ,1
68,440,Błonie nad Kudową ,3
69,239,Błotnica ,3
70,2158,Błyszcz ,0
71,280,Bobolice ,3
72,290,Bobowa ,2
73,1359,Bobrovecké sedlo / Bobrowiecka Przełęcz ,0
74,699,Bobrowe Skały ,3
75,1333,Bobrowiecki Żleb ,0
76,220,Bochnia ,1
77,260,Bodzantówka ,1
78,645,Bogoria ,3
79,540,Boguszów ,3
80,340,Bojanicka Struga ,3
81,570,Bolesławów ,3
82,340,Bolków ,3
83,600,Boracza ,3
84,854,Borowa ,3
85,670,Borowice ,3
86,398,Brenna ,1
87,447,Brenna Bukowa ,1
88,420,Brenna Centrum ,1
89,490,Brenna Leśniczówka ,1
90,360,Brenna skrzyżowanie ,1
91,472,Brenna szkoła ,1
92,1910,Brestová / Brestowa ,0
93,280,Brylińce ,2
94,536,Brzanka ,2
95,740,Brzegi Górne ,2
96,1015,Brzeziny ,0
97,220,Brzeźnica ,1
98,310,Brzeźnica ,3
99,445,Buczkowice ,1
100,865,Budniki ,3
101,360,Budzów ,1
102,430,Bukovec / Bukowiec ,1
103,1201,Bukowe Berdo ,2
104,430,Bukowiec ,3
105,480,Bukowiec ,2
106,530,Bukowiec ,1
107,835,Bukowiec ,3
108,450,Bukowiec osada ,1
109,1049,Bukowina / Talapkov Beskyd ,1
110,1143,Bukowina Miejska ,1
111,1039,Bukowina Obidowska  ,1
112,950,Bukowina Tatrzańska ,0
113,758,Bukowina Tatrzańska Dolna ,0
114,510,Bukówka ,3
115,510,Bulina ,1
116,1145,Butorowy Wierch  ,0
117,453,Bystra ,1
118,467,Bystra ,1
119,2248,Bystrá / Bystra ,0
120,2314,Bystrá lávka / Bystra Ławka ,0
121,449,Bystra Podhalańska ,1
122,350,Bystřice / Bystrzyca ,1
123,1946,Bystry Karb ,0
124,280,Bystrzyca Górna ,3
125,1180,Bývalá Važecká chata / dawne Schronisko Ważeckie ,0
126,700,Cergowa ,2
127,770,Chata Bahenec / Horský Welness Hotel Bahenec ,1
128,745,Chata Filipka / Schronisko Filipka ,1
129,645,Chata Hrádek / Schronisko Hradek ,1
130,860,Chata Magóry ,1
131,950,Chata na Čantoryje ,1
132,1300,Chata Plesnivec / Schronisko pod Szarotką ,0
133,2245,Chata pod Rysmi / Schronisko pod Rysami ,0
134,1825,Chata pod Soliskom / Schronisko pod Soliskiem ,0
135,1550,Chata pri Zelenom plese / Schronisko nad Zielony ,0
136,895,Chata Socjologa ,2
137,800,Chatka Gibasówka ,1
138,800,Chatka pod Potrójną ,1
139,690,Chatka Studencka Rogacz ,1
140,600,Chełm ,1
141,779,Chełm nad Grybowem ,2
142,530,Chełm Wschodni ,1
143,851,Chełmiec ,3
144,510,Chełmsko Śląskie ,3
145,370,Chłodnik ,3
146,400,Chmieleń ,3
147,771,Chochołów ,0
148,420,Chrewt ,2
149,440,Chrośnica ,3
150,540,Chrośnicka Przełęcz ,3
151,984,Chryszczata ,2
152,1850,Chuda Przełęcz  ,0
153,459,Chyrowa ,2
154,829,Ciecień  ,1
155,2096,Ciemniak ,0
156,520,Cieniawa ,1
